"ResultType","Message"
"90020","The SAML 1.1 Assertion is missing ImmutableID of the user."
"90022","Principal name format is invalid for '{name}'. Expected format: name[/instance][@realm]. The principal name is required, host and realm are optional and may be set to null."
"90023","Invalid STS request."
"90024","A transient error has occurred. Please try again."
"90025","Request processing has exceeded internal allowance. This operation will be retried internally and usually resolves without user impact. Please verify the end result of the transaction to verify status."
"90026","Hostname contains an invalid wildcard '*' character."
"90027","We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this."
"90028","Principal name format is invalid for name '{name}'. Primary component of the name is required."
"90029","The realm '{name}' is a Unicode domain name. Domain names of this form are not supported."
"90030","A transient error has occurred. Try again after some time."
"90031","A transient error has occurred. Try again after some time."
"90032","A transient error has occurred. Try again after some time."
"90033","A transient error has occurred. Please try again."
"90035","Service is temporarily unavailable. Please retry later."
"90036","An unexpected, non-retryable error stemming from the directory service has occurred."
"90037","Non-retryable error has occurred."
"90038","Tenant '{tenant_name}' request is being redirected to the National Cloud '{cloud}'."
"90039","Service is temporarily unavailable. Please retry later."
"90040","A non-retryable error has occurred."
"90041","A transient error has occurred. Please try again."
"90042","National Cloud Name is missing in the postback request."
"90082","Authentication policy '{name}' selected for the request is not currently supported."
"90083","Request is unsupported."
"90084","Guest accounts are not allowed for this site."
"90085","The service is unable to issue a token because the company object hasn't been provisioned yet."
"90086","The user DA token is expired."
"90087","An error occurred while creating the WS-Federation message from the URI."
"90088","Authentication failed due to email address domain is not in allowed domains list for identity provider."
"90089","User token should not be used in App on behalf of flow."
"90090","A transient error has occurred. Please try again."
"90091","A transient error has occurred. Please try again."
"90092","Non-retryable error has occurred."
"90093","Actual message content is runtime specific. Please see returned exception message for details."
"90094","Admin consent is required for the permissions requested by this application."
"90095","Admin consent is required for the permissions requested by this application. An admin consent request may be sent to the admin."
"90096","Admin consent is required for the permissions requested by this application. Admin consent request sent for processing."
"90097","An error has occured during admin consent processing."
"90098","An unexpected approval request ID was provided."
"90099","The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them."
"90100","{name} parameter is empty or not valid."
"90101","The supplied data isn't a valid email address. Please provide it in the format someone@example.com"
"90102","'{name}' value must be a valid absolute URI."
"90126","User Type is not supported on this endpoint. The system can't infer the user's tenant from the user name: {userName}"
"90128","Unable to load OptIn store for user."
"90129","{resConstant} '{resourceId}' {resourceName} has a configured token version of '1' and is not supported over the /common or /consumers endpoints."
"90130","{appConstant} '{appId}' {appName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90131","Invalid ambiguous request. sid cannot be used with prompt {prompt}."
"90132","The provided value for the input parameter 'device_code' is not valid. Device codes supporting the personal Microsoft Account sign-in audience can only be used for v2 common or consumers tenants."
"90134","Retrieving claims from identity provider '{idp}' failed."
"90135","The user decided not to continue the authentication. No remediation is required."
"90136","Device Code flow is not supported for Confidential Clients."
"90137","Token issuance cannot proceed because user declined consent approval to release their profile information."
"90138","Invalid ambiguous request. sid cannot be used with login_hint."
"90139","Invalid request. The device code flow connect mode in your request is only supported for the /consumers/ tenant."
"130001","Signature key ID is not provided."
"130004","UserPrincipal doesn't have the NGC key configured."
"130005","NGC key signature verification failed."
"130006","The NGC transport key isn't configured on the device."
"130007","The device is disabled."
"130008","Device referenced by the NGC key is not found."
"130009","Device key was found weak."
"130500","Phone sign in was blocked due to User Credential Policy."
"130501","Sign in was blocked due to User Credential Policy."
"130502","Temporary Access Pass sign in was blocked due to User Credential Policy."
"130503","Your Temporary Access Pass is incorrect. If you don't know your pass, contact your administrator."
"130504","Your Temporary Access Pass has expired. Contact your administrator to obtain a new pass."
"130505","Your one-time Temporary Access Pass has been redeemed. Contact your admin to get a new pass."
"130506","Access Pass must be used for Web Sign In. Contact your admin to get an Access Pass."
"130507","An access pass could not be found or verified for the user."
"135001","UserPrincipal doesn't have the key ID configured."
"135002","Fido key does not have authenticator data."
"135003","Fido assertion verification failed. Invalid gesture provided."
"135004","Invalid postBackUrl parameter."
"135005","Invalid cancelUrl parameter."
"135006","Invalid resumeUrl parameter."
"135007","Client data type is not valid."
"135008","Relying Party Origin is not valid."
"135009","Flow Token Scenario must be login scenario."
"135010","UserPrincipal doesn't have the key ID configured."
"135011","Device used during the authentication is disabled."
"135012","UserObjectId from the UserHandle does not match with UserPrincipal UserObjectId."
"135013","Invalid UserHandle prefix."
"135014","Invalid UserHandle length."
"135015","The FIDO exclude list was not a valid JSON blob."
"135016","FIDO sign-in is disabled via policy."
"135017","Unexpected Signature Counter received from authenticator."
"135018","Invalid challenge received from fido assertion."
"135019","Expired Challenge received from Fido assertion."
"135020","Invalid Fido assertion."
"140000","Request nonce is expired. Current time: {curTime}, expiry time of assertion {expTime}."
"140001","The session key is not valid."
"140002","Key not found"
"140003","Nonce purpose not supported"
"140004","Invalid Ticket Granting Ticket request."
"140005","Invalid Ticket Granting Ticket request."
"140006","Invalid Ticket Granting Ticket request."
"140007","Invalid Ticket Granting Service request."
"140008","Invalid ApReq assertion provided."
"140009","Kerberos crypto bad request"
"160021","Application requested a user session which does not exist."
"240000","Limit for BulkAADJ tokens is reached for the tenant."
"240001","User is not authorized to register devices in Azure AD."
"240002","Input id_token cannot be used as 'urn:ietf:params:oauth:grant-type:jwt-bearer' grant."
"240003","Unexpected result from authorize endpoint call."
"240004","Authorization code not received from authorize endpoint call. Error: {errorInfo}"
"240005","Missing required user role to acquire a bulk AADJ token. For more information please go to https://go.microsoft.com/fwlink/?linkid=2224591."
"399209","Application '{appIdentifier}' does not have certificate-bound access tokens enabled."
"399210","A verifiable credential is required to access this resource."
"399211","Unable to find the requested DiskCache."
"399212","Requested DiskCache is expired."
"399213","The device key supplied is invalid."
"399214","The algorithm in the request is invalid."
"399215","HttpRequestException occurred in request to Dsts."
"399216","Timeout occurred in request to Dsts."
"399217","Non-retryable error has occurred."
"399218","For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"399219","MSA Data Accessor transient timeout."
"399220","More than one service principal returned"
"500011","The resource principal named {name} was not found in the tenant named {tenant}. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant."
"500012","Resource application name '{name}' is not valid."
"500013","Resource identifier is not provided."
"500014","The service principal for resource '{identifier}' is disabled. This indicate that a subscription within the tenant has lapsed, or that the administrator for this tenant has disabled the application, preventing tokens from being issued for it."
"500015","MSA provisioned resources are not supported in the tenant named {tenant}."
"500016","Application '{appIdentifier}' is not supported as a resource application to execute the flow."
"500017","Application '{appIdentifier}' is not allowed as a resource application to execute the flow."
"500021","Access to '{tenant}' tenant is denied."
"500022","Access to '{tenant}' tenant is denied."
"500023","'{headerFromCredential}' is not the same as '{headerFromRequest}'."
"500081","SAML assertion validation failed: no supported token signature is provided."
"500082","SAML assertion is not present in the token."
"500083","Unable to verify token signature. No trusted realm was found with identifier '{issuer}'."
"500084","Cannot read SecurityToken. Expected element is ({expectedName}, {expectedNamespace}) the actual element is ({localName}, {actualNamespace})."
"500085","SAML Assertion with MajorVersion '{actualMajor}' and MinorVersion '{actualMinor}' is not supported. The supported version is MajorVersion '{major}' and MinorVersion '{minor}'."
"500086","SAML Assertion AssertionId '{id}' is not a valid xsd:ID value."
"500087","SAML Assertion does not have any SAML Statement elements. SAML Assertion must have at least one SAML Statement element."
"500088","SAML Assertion is missing the required '{name}' Attribute."
"500089","SAML 2.0 assertion validation failed: {details}"
"500102","Audience URI validation failed. No allowed audiences are configured."
"500103","Validation of Audience URI(s) {uri} failed. No match was found with allowed audience(s) {audience}."
"500111","The reply uri specified in the request has an invalid scheme."
"500112","The reply address '{actual}' does not match the reply address '{provided}' provided when requesting Authorization code."
"500113","No reply address is registered for the application{idPhrase}."
"500114","Protocol not specified for reply address validation."
"500115","The reply uri specified in the request is missing or not a valid URL."
"500116","The reply uri specified in the request is not a valid URL. Allowed schemes: '{schemes}'."
"500117","The reply uri specified in the request isn't using a secure scheme."
"500118","The reply uri specified in the request failed validation. The reply uri host must match one of the registered DNS host names '{host}' for site with ID '{id}'."
"500119","Redirect URIs with urn: schemes are prohibited. Use a different scheme, or https://login.microsoftonline.com/common/oauth2/nativeclient"
"500121","Authentication failed during strong authentication request."
"500122","SWT assertion failed signature validation. Actual message content is runtime specific. Please see returned exception message for details."
"500123","SWT assertion failed signature validation. Actual message content is runtime specific. Please see returned exception message for details."
"500124","No device secret is provisioned in the store."
"500125","Invalid device secret is provided."
"500126","External ID token from issuer '{issuer}' failed signature verification. KeyID of token is '{identifier}'."
"500127","No authenticated credentials found in request."
"500128","No session key found."
"500129","No NGC transport key found."
"500131","Assertion audience does not match the Client app presenting the assertion. The audience in the assertion was '{tokenAudience}' and the expected audience is '{expectedAudience}' or one of the Application Uris of this application with App ID '{appId}'({appName}). The downstream client must request a token for the expected audience (the application that made the OBO request) and this application should use that token as the assertion."
"500132","Assertion is malformed and cannot be read."
"500133","Assertion is not within its valid time range. Ensure that the access token is not expired before using it for user assertion, or request a new token. Current time: {curTime}, expiry time of assertion {expTime}."
"500135","Authentication code is missing in the assertion."
"500136","The token issuer doesn't match the api version: A version 2 token can only be used with the v2 endpoint."
"500137","The token issuer doesn't match the api version: A version 1 token cannot be used with the v2 endpoint."
"500138","No Refresh Token claim provided in the assertion."
"500139","Refresh token in the assertion is not a primary refresh token."
"500141","The user's redemption is complete but the request was not initiated by the target application."
"500142","The user's redemption is complete and the sign-in should continue."
"500200","User account '{email}' is a personal Microsoft account. Personal Microsoft accounts are not supported for this application unless explicitly invited to an organization. Try signing out and signing back in with an organizational account."
"500201","We are unable to issue tokens from this API version for a Microsoft account. Please contact the application vendor as they need to use version 2.0 of the protocol to support this."
"500202","User account '{email}' from external identity provider '{idp}' is not supported for API version '{version}'. Microsoft account pass-thru users and guests are not supported by the tenant-independent endpoint."
"500204","Microsoft account '{email}' can’t be used to log in to application {appName}. Please get this user invited to {tenant} directory or sign out and sign in again with a Work or School account."
"500205","A consumer (B2C) account can't be used to log into non consumer applications."
"500206","The account type can't be used for the application you're trying to log into."
"500207","The account type can't be used for the resource you're trying to access."
"500208","The domain is not a valid login domain for the account type."
"500209","Unspecific Tenant is not supported in this domain."
"500210","Domain name does not match with the tenant identifier"
"500211","User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account."
"500341","The user account {identifier} has been deleted from the {tenant} directory. To sign into this application, the account must be added to the directory."
"500342","User account is not configured for remote NGC."
"500343","Could not create remote sign-in session."
"500344","User Account is not found for Fido Sign in flow."
"500346","E-Mail OTP user cannot sign in with local password."
"500571","The guest user account is disabled."
"500881","Limit on telecom MFA calls reached. Please retry with PhoneAppNotification or try again in a few minutes."
"500882","Limit on telecom MFA calls reached. Please retry with PhoneAppCode or try again in a few minutes."
"500883","Limit on telecom MFA calls reached. Please retry with CompanionAppsNotification or try again in a few minutes."
"501271","Broker app needs to be installed for device authentication to succeed."
"501291","Client app is a Mam app, device is not registered and request is sent using a broker. Work place join needs to be done to register the device before the app can be accessed."
"501292","Client application cannot satisfy app protection requirement. If it's a first party app, then it's not whitelisted to be used with app protection policies, otherwise, the app has not advertised as app-compliant capable, or the authentication library used does not support app protection policies."
"501293","The device is not workplace joined. To proceed with the 'Sign in from another device' option, this device must be workplace joined."
"501311","Browser not supported."
"501312","Device used during the authentication is not registered for the account."
"501313","Your device is required to be managed to access this resource."
"501314","Silent interrupt required to recognize browser capabilities. Used to differentiate between Safari running in iPadOS or Mac."
"501481","The Code_Verifier does not match the code_challenge supplied in the authorization request."
"501482","The Code_Verifier length is less than invalid."
"501811","OTP is incorrect, or no cache entry exists for the tenant/user."
"530001","Browser not supported."
"530002","Your device is required to be compliant to access this resource."
"530003","Your device is required to be managed to access this resource."
"530004","AcceptCompliantDevice setting isn't configured for this organization. The admin needs to configure this setting to allow external users access to protected resources."
"530011","Browser not supported."
"530031","Access policy does not allow token issuance."
"530032","User blocked due to risk on home tenant."
"530033","Remote device flow blocked due to device based conditional access."
"530034","A delegated administrator was blocked from accessing the tenant due to account risk."
"530035","Access has been blocked by security defaults."
"650051","Actual message content is runtime specific. Please see returned exception message for details."
"650052","The app is trying to access a service '{appId}'({appName}) that your organization '{organization}' lacks a service principal for. Contact your IT Admin to review the configuration of your service subscriptions or consent to the application in order to create the required service principal."
"650053","The application '{name}' asked for scope '{scope}' that doesn't exist on the resource '{resource}'. Contact the app vendor."
"650054","The application '{name}' asked for permissions to access a resource that has been removed or is no longer available. Contact the app vendor."
"650055","The application '{name}' required resource access list does not contain applications discoverable by '{resource}'."
"650056","Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or, the admin has not consented in the tenant. Or, check the application identifier in the request to ensure it matches the configured client application identifier. Or, check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {id}."
"650057","Invalid resource. The client has requested access to a resource which is not listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}."
"650058","The app needs access to a service that your organization has not subscribed to or enabled. Contact your IT Admin to review the configuration of your service subscriptions."
"650061","The client application {appDisplayName} ({applicationId}) requested the role {roleName} ({roleId}) on the resource application {resourceDisplayName} ({resourceId}) but this role is only assignable to users. Either the client application vendor must remove the role from the requested roles, or the owner of the resource application must allow the role to be assignable to applications. For more information, see https://docs.microsoft.com/azure/active-directory/develop/howto-add-app-roles-in-azure-ad-apps"
"700001","Application: {samlAudience} needs to opt-in for 'aio' optional claim for On Behalf Of flow to work with SAML tokens issued to this application"
"700002","SAML 1.1 Bearer assertion must be a valid Base64 encoded value."
"700003","Device object was not found in the tenant '{tenantName}' directory."
"700004","onpremobjectguid '{objGuid}' attribute in the presented grant is malformed."
"700005","Provided Authorization Code is intended to use against other tenant, thus rejected."
"700006","The Audience: {audience} of the token is NOT an absolute Uri"
"700007","The grant was issued for a different client id."
"700008","Social IDP users are not expected to have home tenant."
"700009","Reply address must be provided when presenting an authorization code requested with an explicit reply address."
"700011","Application with identifier {appIdentifier} was not found in the directory."
"700012","Missing Authorization header with bearer token. Client was not authenticated."
"700013","Client is not authorized to request managed browser purpose token."
"700014","Mobile Edge app needs to provide an enrollment id in order to acquire a purpose token that can satisfy the compliant app requirement."
"700016","Application with identifier '{appIdentifier}' was not found in the directory '{tenantName}'. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You may have sent your authentication request to the wrong tenant."
"700017","{resourceConstant} '{resourceIdentifier}' is not supported as resource."
"700018","{resourceConstant} '{resourceIdentifier}' is not supported as resource."
"700019","Application ID {identifier} cannot be used or is not authorized."
"700020","Application ID {identifier} is a reserved identifier and should be removed on the application: {applicationId}."
"700021","Client assertion application identifier doesn't match 'client_id' parameter. Review the documentation at https://docs.microsoft.com/azure/active-directory/develop/active-directory-certificate-credentials ."
"700022","No Subject claim provided in the assertion. Review the documentation at https://docs.microsoft.com/azure/active-directory/develop/active-directory-certificate-credentials ."
"700023","Client assertion audience claim does not match Realm issuer. Review the documentation at https://docs.microsoft.com/azure/active-directory/develop/active-directory-certificate-credentials ."
"700024","Client assertion is not within its valid time range. Current time: {curTime}, assertion valid from {validTime}, expiry time of assertion {expTime}. Review the documentation at https://docs.microsoft.com/azure/active-directory/develop/active-directory-certificate-credentials ."
"700025","Client is public so neither 'client_assertion' nor 'client_secret' should be presented."
"700026","Client application has no configured keys."
"700027","Client assertion failed signature validation."
"700028","Certificate with thumbprint {thumbprint} is not authorized."
"700029","Invalid signing certificate."
"700030","Invalid certificate - subject name in certificate is not authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}."
"700031","Invalid certificate - SubjectName or SubjectAlternativeName is missing"
